Timestamp,What is your age?,"
What is your gender ?",What is your education level ?,How many hours per day do you spend on social media?,Which social media platforms do you use the most? (Select all that apply),How often do you feel stressed or overwhelmed by content on social media?,How many hours of sleep do you typically get on a weeknight?,Do you use social media within an hour before going to bed?,How often do you experience difficulty falling asleep due to social media use?,"On a scale of 1-5, how would you rate the quality of your sleep?","On a scale of 1-5, how much do you agree with the following statement: ""Social media negatively impacts my mental health.""?",Which of the following mental health issues do you think are exacerbated by your social media use? (Select all that apply),"What changes, if any, have you made to your social media habits to improve your mental health or sleep quality?","In your own words, describe any positive or negative impacts that social media has had on your mental health."
5/19/2024 12:31:30,21-23,Male,Undergraduate,1-2 hours,"Instagram, Whatsapp, Snapchat, Youtube, LinkedIn",Rarely,6-7 hours,Always,Rarely,4 (Good),5 (Strongly Agree),None,"Reduced overall usage, Used apps to limit usage",
5/19/2024 13:24:22,21-23,Female,Undergraduate,4-6 hours,Instagram,Sometimes,6-7 hours,Always,Never,2 (Poor),3 (Neutral),"Anxiety, Stress, Loneliness, Low self-esteem","Reduced overall usage, Used apps to limit usage",It’s overall overwhelming and requires a lot of control. Its major impact is influencing and that should be avoided. 
5/19/2024 13:40:46,24-26,Male,Graduate,2-4 hours,Whatsapp,Rarely,6-7 hours,Often,Sometimes,3 (Average),3 (Neutral),Loneliness,"Reduced overall usage, Set specific times for social media use, Avoided social media before bed, Used apps to limit usage",
5/19/2024 15:36:00,21-23,Female,Undergraduate,2-4 hours,"Instagram, Whatsapp, Snapchat, LinkedIn",Never,6-7 hours,Always,Sometimes,2 (Poor),3 (Neutral),None,Not made any changes,"The content I consume doesn't affect me. But the usage definitely drains me out. So it's not ""social media"" for me but the usage of any of such apps."
5/19/2024 17:49:16,18-20,Male,Undergraduate,4-6 hours,"Instagram, Whatsapp, Snapchat, Youtube",Sometimes,Less than 5 hours,Often,Rarely,2 (Poor),3 (Neutral),"Stress, Loneliness, Low self-esteem",Not made any changes,
5/19/2024 18:12:52,18-20,Male,Undergraduate,1-2 hours,"Instagram, Whatsapp, Youtube",Often,7-8 hours,Often,Sometimes,2 (Poor),4 (Agree),"Stress, Loneliness, Low self-esteem, Other","Reduced overall usage, Set specific times for social media use, Used apps to limit usage","Short attention time, sense of comparison causing insecurity, anxiety, fake information, wrong culture and trends, procrastination, incapacitizing cognitive capacity, reducing eye health, (-ves) current affairs, trends, knowledgeable informations, allowing to connect with people, understanding different individuals lives, getting to know different things in life"
5/19/2024 22:03:21,21-23,Male,Undergraduate,6-8 hours,"Instagram, Youtube",Sometimes,6-7 hours,Sometimes,Sometimes,3 (Average),4 (Agree),"Anxiety, Stress",Reduced overall usage,
5/19/2024 23:23:40,18-20,Male,Graduate,2-4 hours,Instagram,Sometimes,6-7 hours,Sometimes,Never,4 (Good),3 (Neutral),"Stress, None",Reduced overall usage,"A proper use of social media can help in relaxation after a hectic work schedule but if going overboard, it leads to a bad quality of sleep"
5/20/2024 1:00:11,21-23,Male,Graduate,4-6 hours,"Whatsapp, Youtube, LinkedIn",Sometimes,7-8 hours,Always,Often,3 (Average),4 (Agree),None,Not made any changes,"TRY Linkedin, it will blow your mind due to everyone posting success posts and celebrating now and then, you will think that you are doing nothing as compared to others and it will create a FOMO."
5/20/2024 1:05:47,18-20,Male,High School,4-6 hours,"Instagram, Whatsapp",Often,7-8 hours,Always,Sometimes,4 (Good),5 (Strongly Agree),"Depression, Loneliness, Low self-esteem","Reduced overall usage, Used apps to limit usage",
5/20/2024 7:46:43,18-20,Male,Undergraduate,2-4 hours,"Instagram, Whatsapp, Snapchat",Rarely,Less than 5 hours,Always,Sometimes,2 (Poor),4 (Agree),"Anxiety, Depression, Loneliness, Low self-esteem",Reduced overall usage,
5/20/2024 9:25:50,24-26,Male,Postgraduate,4-6 hours,"Instagram, Whatsapp, Youtube",Sometimes,5-6 hours,Always,Sometimes,3 (Average),4 (Agree),"Stress, Loneliness, Low self-esteem","Reduced overall usage, Avoided social media before bed",Its impact on my sleep cycle..which impact negative to my health 
5/20/2024 9:44:10,21-23,Female,Undergraduate,4-6 hours,"Whatsapp, Youtube, Other (please specify)",Often,More than 8 hours,Often,Often,5 (Excellent),5 (Strongly Agree),"Anxiety, Depression, Stress, Loneliness, Low self-esteem, Other","Reduced overall usage, Switching off the phone, uninstall particular apps, off the notification settings, off the data for particular apps","Truly saying I have faced major issues with myself because of social media, I have started comparing my parents my friends, I started doubting whether they love me or not, my experience is really worst. Due to these I started acting and feeling wierd, now I have many many doubts regarding myself and my personality and many more! And a big issue is it increases my irritation level to beyond experience! Everything irritates me for nothing, my own people my work my friends! It stressed me to next due to those comparison I started feeling low and inferior in between my very own people! It decreases my patience level and ofcourse my concentration! My Overall experience about social media is worst than any other experiences. "
5/20/2024 12:30:05,18-20,Male,High School,8 hours or above,"Instagram, Twitter, Whatsapp, Snapchat, Youtube",Sometimes,6-7 hours,Always,Sometimes,3 (Average),4 (Agree),"Anxiety, Depression, Stress, Loneliness, Low self-esteem","Reduced overall usage, Set specific times for social media use, Avoided social media before bed, Used apps to limit usage",
5/20/2024 17:54:50,27-29,Female,Postgraduate,4-6 hours,"Whatsapp, Facebook",Sometimes,6-7 hours,Rarely,Never,5 (Excellent),5 (Strongly Agree),"Stress, Low self-esteem","Reduced overall usage, Avoided social media before bed",no
5/20/2024 18:14:38,18-20,Male,Graduate,2-4 hours,"Instagram, Whatsapp, Snapchat, Youtube, Facebook",Sometimes,7-8 hours,Always,Often,3 (Average),3 (Neutral),None,Used apps to limit usage,
5/20/2024 18:18:03,18-20,Male,Undergraduate,4-6 hours,"Instagram, Whatsapp, Snapchat, Youtube",Sometimes,More than 8 hours,Always,Always,4 (Good),4 (Agree),None,Not made any changes,Nothing
5/20/2024 21:15:33,18-20,Female,Undergraduate,1-2 hours,"Instagram, Youtube, LinkedIn",Sometimes,Less than 5 hours,Sometimes,Sometimes,1 (Very poor),3 (Neutral),"Anxiety, Stress, Loneliness","Reduced overall usage, Set specific times for social media use, Avoided social media before bed",I guess its too time consuming and distracting
5/20/2024 21:31:08,18-20,Male,Undergraduate,4-6 hours,"Instagram, Whatsapp, LinkedIn",Sometimes,6-7 hours,Sometimes,Rarely,4 (Good),5 (Strongly Agree),Loneliness,Set specific times for social media use,no
5/21/2024 16:33:52,21-23,Male,Undergraduate,6-8 hours,"Instagram, Twitter, Whatsapp, Youtube, LinkedIn",Never,7-8 hours,Often,Rarely,3 (Average),3 (Neutral),"Loneliness, Low self-esteem",Not made any changes,
5/21/2024 20:21:41,18-20,Male,High School,2-4 hours,"Instagram, Twitter, Whatsapp, Youtube",Rarely,7-8 hours,Always,Rarely,3 (Average),3 (Neutral),Low self-esteem,"Reduced overall usage, Avoided social media before bed",
5/21/2024 23:52:39,18-20,Male,Undergraduate,4-6 hours,"Instagram, Twitter, Whatsapp, Snapchat, Youtube",Sometimes,6-7 hours,Always,Often,3 (Average),3 (Neutral),None,Reduced overall usage,
